YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-03,WEEKENDS/HOLIDAY,5,TRAIN,PW3,113,6
2026-03,WEEKDAY,10,TRAIN,SE1,4595,1998
2026-03,WEEKDAY,18,TRAIN,NS19,93016,100208
2026-03,WEEKDAY,18,TRAIN,TE13,11742,6877
2026-03,WEEKDAY,6,TRAIN,SE5,5042,2559
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,BP8,903,937
2026-03,WEEKDAY,19,TRAIN,NS5,21131,79661
2026-03,WEEKDAY,7,TRAIN,NS17/CC15,93006,54640
2026-03,WEEKENDS/HOLIDAY,10,TRAIN,CC19/DT9,4096,7281
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,CC17/TE9,3062,2739
2026-03,WEEKENDS/HOLIDAY,15,TRAIN,BP10,1302,1352
2026-03,WEEKDAY,15,TRAIN,NS3,18636,21898
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,DT18,588,2381
2026-03,WEEKDAY,11,TRAIN,NS28,2184,3877
2026-03,WEEKDAY,7,TRAIN,TE18,2935,10242
2026-03,WEEKENDS/HOLIDAY,23,TRAIN,DT25,315,1460
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,NS20,19005,20376
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,SE2,2178,515
2026-03,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3307,1563
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,SE5,840,299
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,NS10,20665,10738
2026-03,WEEKENDS/HOLIDAY,23,TRAIN,SW4,142,909
2026-03,WEEKENDS/HOLIDAY,19,TRAIN,CC19/DT9,5785,2884
2026-03,WEEKDAY,9,TRAIN,EW1,50935,14477
2026-03,WEEKENDS/HOLIDAY,14,TRAIN,DT10,1919,1351
2026-03,WEEKDAY,20,TRAIN,TE15,11742,9431
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,NS7,1285,1810
2026-03,WEEKDAY,20,TRAIN,PW2,287,70
2026-03,WEEKDAY,10,TRAIN,TE5,5624,3182
2026-03,WEEKDAY,9,TRAIN,CC10/DT26,22528,34043
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,EW11,82,335
2026-03,WEEKENDS/HOLIDAY,6,TRAIN,SE2,1514,167
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,DT27,2677,2459
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,SW4,2113,1074
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,EW6,2789,6582
2026-03,WEEKENDS/HOLIDAY,19,TRAIN,PE7,1147,2433
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,TE26,9793,8082
2026-03,WEEKENDS/HOLIDAY,6,TRAIN,EW7,3346,1412
2026-03,WEEKDAY,15,TRAIN,CC4/DT15,18938,15977
2026-03,WEEKDAY,13,TRAIN,NS19,41110,39218
2026-03,WEEKDAY,17,TRAIN,CC5,11319,3581
2026-03,WEEKDAY,20,TRAIN,EW6,5763,20561
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,SE1,1854,2291
2026-03,WEEKDAY,21,TRAIN,NS9/TE2,47276,79663
2026-03,WEEKDAY,21,TRAIN,SW1,3812,2064
2026-03,WEEKENDS/HOLIDAY,10,TRAIN,CC12,4356,2295
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,NS5,15562,7127
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,EW31,2913,2208
2026-03,WEEKENDS/HOLIDAY,13,TRAIN,NE12/CC13,32908,33828
2026-03,WEEKDAY,10,TRAIN,EW1,31718,13189
2026-03,WEEKDAY,14,TRAIN,SW7,2339,2690
2026-03,WEEKENDS/HOLIDAY,15,TRAIN,TE18,8636,5581
